,Unnamed: 0,Curve,ID,IG,IS,Iteration,L,Temperature,Thickness,VD,VG,VS,W,absID,absIG,file,gm2,sqrtID,logabsID,Name
7973,7973,Transfer lin,-1.88e-13,-2.3686e-11,1.6794e-11,1,10,300,250,0.1,-1.25,0,10,1.88e-13,2.3686e-11,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,5.5095263935832855e-12,4.33589667773576e-07,-12.72584215073632,300-250-10.0-10.0
7974,7974,Transfer lin,4e-13,-2.2578000000000003e-11,1.5118e-11,1,10,300,250,0.1,-1.2,0,10,4e-13,2.2578000000000003e-11,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,1.9301651272963748e-11,6.324555320336756e-07,-12.397940008672034,300-250-10.0-10.0
7975,7975,Transfer lin,7.620000000000003e-13,-2.2345e-11,1.0688e-11,1,10,300,250,0.1,-1.15,0,10,7.620000000000003e-13,2.2345e-11,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,2.521894419121241e-13,8.729261137118078e-07,-12.1180450286604,300-250-10.0-10.0
7976,7976,Transfer lin,3.39e-13,-2.1090000000000002e-11,1.3794e-11,1,10,300,250,0.1,-1.1,0,10,3.39e-13,2.1090000000000002e-11,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,2.142926524400267e-12,5.822370651203854e-07,-12.469800301796914,300-250-10.0-10.0
7977,7977,Transfer lin,1.0390000000000001e-12,-2.0074999999999996e-11,1.6496000000000002e-11,1,10,300,250,0.1,-1.05,0,10,1.0390000000000001e-12,2.0074999999999996e-11,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,4.0055059586020164e-12,1.0193134944657605e-06,-11.983384452442822,300-250-10.0-10.0
7978,7978,Transfer lin,1.4599999999999998e-13,-1.8843000000000003e-11,1.3042e-11,1,10,300,250,0.1,-1.0,0,10,1.4599999999999998e-13,1.8843000000000003e-11,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,6.881977249291314e-11,3.8209946349085604e-07,-12.835647144215566,300-250-10.0-10.0
7979,7979,Transfer lin,-3.6000000000000004e-14,-1.7818000000000002e-11,1.1649000000000003e-11,1,10,300,250,0.1,-0.95,0,10,3.6000000000000004e-14,1.7818000000000002e-11,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,1.5914155782128712e-11,1.8973665961010286e-07,-13.443697499232712,300-250-10.0-10.0
7980,7980,Transfer lin,6.1e-13,-1.6917e-11,1.4142000000000007e-11,1,10,300,250,0.1,-0.9,0,10,6.1e-13,1.6917e-11,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,6.849636421363626e-16,7.810249675906655e-07,-12.214670164989233,300-250-10.0-10.0
7981,7981,Transfer lin,3.7000000000000006e-14,-1.7287999999999998e-11,1.0975e-11,1,10,300,250,0.1,-0.8500000000000002,0,10,3.7000000000000006e-14,1.7287999999999998e-11,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,1.644507693296326e-11,1.9235384061671342e-07,-13.431798275933005,300-250-10.0-10.0
7982,7982,Transfer lin,1.4099999999999998e-13,-1.4650000000000002e-11,1.0540000000000002e-11,1,10,300,250,0.1,-0.8,0,10,1.4099999999999998e-13,1.4650000000000002e-11,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,6.666962989303372e-16,3.7549966711037173e-07,-12.85078088734462,300-250-10.0-10.0
7983,7983,Transfer lin,-3.8e-14,-1.3927999999999998e-11,9.401e-12,1,10,300,250,0.1,-0.75,0,10,3.8e-14,1.3927999999999998e-11,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,9.478659409559462e-12,1.9493588689617926e-07,-13.42021640338319,300-250-10.0-10.0
7984,7984,Transfer lin,4.67e-13,-1.361e-11,8.210000000000003e-12,1,10,300,250,0.1,-0.7000000000000001,0,10,4.67e-13,1.361e-11,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,1.4337531442168565e-11,6.833739825307954e-07,-12.330683119433887,300-250-10.0-10.0
7985,7985,Transfer lin,-3.2899999999999986e-13,-1.2130000000000001e-11,1.015e-11,1,10,300,250,0.1,-0.65,0,10,3.2899999999999986e-13,1.2130000000000001e-11,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,6.961705640994152e-12,5.735852159879995e-07,-12.482804102050025,300-250-10.0-10.0
7986,7986,Transfer lin,-1.76e-13,-1.2031000000000002e-11,8.180000000000001e-12,1,10,300,250,0.1,-0.6,0,10,1.76e-13,1.2031000000000002e-11,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,2.5133343917023924e-12,4.1952353926806064e-07,-12.75448733218585,300-250-10.0-10.0
